opsCode,opsText,opsText_alt,Kombiprodukt,Substanzangabe_aus_OPS-Code,1Substanz_allg_engl_INN_oder_sonst,2Substanz_allg_engl_INN_oder_sonst,3Substanz_allg_engl_INN_oder_sonst,4Substanz_allg_engl_INN_oder_sonst,Einheit_Wert_min,Einheit_Wert_max,UCUM-Code,UCUM-Description,Kommentar SZ,Routes and Methods of Administration - Concept Code,Routes and Methods of Administration - Term,Administration Method - ID,Administration Method - Name,Code Intended Site (EDQM),Intended Site (EDQM),Routes and Methods of Administration - Concept Code.1,Routes and Methods of Administration - Term.1,Administration Method - ID.1,Administration Method - Name.1,Code Intended Site (EDQM).1,Intended Site (EDQM).1,EU-Zulassung? ,Strenght,Pharmaceutical Form,Packaging,Handelsname-Beispiel (Invented name),Kombi_ja_nein_beides,Substanzname_Stoffkatalog,Substanz_genau_Bezeichnung_engl,UNII_Substanz_genau,ASK_Substanz_genau,CAS_Substanz_genau,Subst_genau_gleich_Subst_allgemein,Substanz_allg_engl_INN_oder_sonst,INN_englisch,UNII_Substanz_allg,ASK_Substanz_allg,CAS_Substanz_allg,Substanzname_ATC_DIMDI-Liste,ATC-Code_y,ATC-Code2_y,ATC-Code3_y,ATC-Code4_y,ATC-Code5_y,Bemerkung_zur_Substanz
6-001.00,Parenterale Applikation von 30 mg bis unter 60 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,30,60,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.01,Parenterale Applikation von 60 mg bis unter 90 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,60,90,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.02,Parenterale Applikation von 90 mg bis unter 120 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,90,120,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.03,Parenterale Applikation von 120 mg bis unter 150 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,120,150,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.04,Parenterale Applikation von 150 mg bis unter 180 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,150,180,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.05,Parenterale Applikation von 180 mg bis unter 210 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,180,210,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.06,Parenterale Applikation von 210 mg bis unter 240 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,210,240,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.07,Parenterale Applikation von 240 mg bis unter 270 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,240,270,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.08,Parenterale Applikation von 270 mg bis unter 300 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,270,300,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
6-001.09,Parenterale Applikation von 300 mg bis unter 330 mg Alemtuzumab,,0,Alemtuzumab,alemtuzumab,,,,300,330,mg,milligram,,20045000,Intravenous use,AME-0009,Infusion,ISI - 0033,Parenteral,,,,,,,ja,,Concentrate for solution for infusion,vial (glass),Lemtrada,n,Alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,,alemtuzumab,alemtuzumab,3A189DH42V,31984,216503-57-0,Alemtuzumab,L01XC04,L04AA34,,,,
